Name,Type,County,Government,Population,Area_Total_sq_mi,Area_Land_sq_mi,Year_Incorporated
Boston,City,Suffolk,Mayor-Council,675647,89.6,48.3,1630
Worcester,City,Worcester,Mayor-Manager-Council,206518,38.5,37.4,1722
Springfield,City,Hampden,Mayor-Council,155929,33.1,31.9,1636
Cambridge,City,Middlesex,Mayor-Manager-Council,118403,7.1,6.4,1636
Lowell,City,Middlesex,Mayor-Manager-Council,115554,14.5,13.6,1826
Brockton,City,Plymouth,Mayor-Council,105643,21.5,21.3,1821
Quincy,City,Norfolk,Mayor-Council,101636,26.9,16.6,1792
Lynn,City,Essex,Mayor-Council,101253,13.5,10.7,1629
New Bedford,City,Bristol,Mayor-Council,101079,24.1,20.0,1787
Fall River,City,Bristol,Mayor-Council,94000,40.2,33.1,1803
Lawrence,City,Essex,Mayor-Council,89143,7.4,6.9,1847
Newton,City,Middlesex,Mayor-Council,88923,18.2,17.8,1688
Somerville,City,Middlesex,Mayor-Council,81045,4.2,4.1,1842
Framingham,City,Middlesex,Mayor-Council,72362,26.5,25.0,1700
Haverhill,City,Essex,Mayor-Council,67787,35.7,33.0,1641
Malden,City,Middlesex,Mayor-Council,66263,5.1,5.0,1649
Waltham,City,Middlesex,Mayor-Council,65218,13.8,12.7,1738
Brookline,Town,Norfolk,Representative town meeting,63191,6.8,6.8,1705
Revere,City,Suffolk,Mayor-Council,62186,10.1,5.7,1846
Plymouth,Town,Plymouth,Representative town meeting,61217,134.0,96.5,1620
Medford,City,Middlesex,Mayor-Council,59659,8.7,8.1,1630
Taunton,City,Bristol,Mayor-Council,59408,48.4,46.7,1639
Weymouth,City,Norfolk,Mayor-Council,57437,21.6,16.8,1635
Chicopee,City,Hampden,Mayor-Council,55560,23.9,22.9,1848
Peabody,City,Essex,Mayor-Council,54481,16.8,16.2,1868
Methuen,City,Essex,Mayor-Council,53039,23.0,22.2,1725
Everett,City,Middlesex,Mayor-Council,49075,3.7,3.4,1870
Barnstable,City,Barnstable,Manager-Council,48916,76.5,59.3,1639
Attleboro,City,Bristol,Mayor-Council,46461,27.8,26.8,1694
Arlington,Town,Middlesex,Representative town meeting,46308,5.5,5.0,1807
Salem,City,Essex,Mayor-Council,44480,18.3,8.3,1626
Pittsfield,City,Berkshire,Mayor-Council,43927,42.5,40.5,1761
Leominster,City,Worcester,Mayor-Council,43782,29.7,28.9,1740
Beverly,City,Essex,Mayor-Council,42670,22.6,15.1,1668
Billerica,Town,Middlesex,Representative town meeting,42119,26.4,25.9,1655
Fitchburg,City,Worcester,Mayor-Council,41946,28.1,27.8,1764
Marlborough,City,Middlesex,Mayor-Council,41793,22.1,20.9,1660
Woburn,City,Middlesex,Mayor-Council,40876,12.9,12.7,1642
Westfield,City,Hampden,Mayor-Council,40834,47.3,46.3,1669
Chelsea,City,Suffolk,Manager-Council,40787,2.5,2.2,1739
Amherst,City,Hampshire,Manager-Council,39263,27.7,27.6,1775
Braintree,City,Norfolk,Mayor-Council,39143,14.6,13.8,1640
Shrewsbury,Town,Worcester,Representative town meeting,38325,21.7,20.7,1727
Holyoke,City,Hampden,Mayor-Council,38238,22.8,21.2,1850
Natick,Town,Middlesex,Representative town meeting,37006,16.1,15.1,1781
Andover,Town,Essex,Open town meeting,36569,32.1,31.0,1646
Chelmsford,Town,Middlesex,Representative town meeting,36392,23.2,22.7,1655
Watertown,City,Middlesex,Manager-Council,35329,4.1,4.0,1630
Randolph,City,Norfolk,Manager-Council,34984,10.5,10.1,1793
Lexington,Town,Middlesex,Representative town meeting,34454,16.5,16.4,1713
Dartmouth,Town,Bristol,Representative town meeting,33783,97.5,60.9,1664
Franklin,City,Norfolk,Administrator-Council,33261,27.0,26.6,1778
Dracut,Town,Middlesex,Open town meeting,32617,21.4,20.9,1701
Falmouth,Town,Barnstable,Representative town meeting,32517,54.4,44.1,1686
Needham,Town,Norfolk,Representative town meeting,32091,12.7,12.6,1711
Norwood,Town,Norfolk,Representative town meeting,31611,10.6,10.5,1872
